SAMPLE NAME,Nnet,Cnet ,ROIAREA,ROIDIAM
F1-3,0.000270139,0.292534,1.60675,1.430307
F1-3,8.35067E-05,0.341562727,0.9613037,1.106332
F1-3,0.000225371,0.283201258,0.6591797,0.9161297
F1-3,0.000215221,0.152551818,0.9475708,1.098401
F1-3,0.00010299,0.26393415,1.496887,1.380542
F1-3,0.000347524,0.320098518,1.593018,1.424181
F1-3,0.000184393,0.276437908,1.74408,1.490178
F1-3,0.000124899,0.271143268,1.222229,1.247474
F1-3,6.78056E-05,0.378087076,1.730347,1.4843
F1-3,0.000122044,0.404101086,0.5355835,0.8257881
F1-3,0.000203151,0.245380758,2.568054,1.808244
F1-3,0.000141932,0.234974458,1.304626,1.288837
F1-3,0.000175187,0.235519918,0.9063721,1.074257
F1-3,8.67655E-05,0.277552188,2.389526,1.744259
F1-3,3.72439E-05,0.254693714,1.373291,1.322319
F1-3,0.00011838,0.372862308,1.071167,1.167841
F1-3,0.000116554,0.2997384,0.9750366,1.114206
F1-3,0.000115229,0.333694553,1.208496,1.240445
F1-3,0.00012512,0.242172714,0.5630493,0.8466975
F1-3,0.000116379,0.42386435,1.565552,1.411851
F1-3,0.000187139,0.341623261,0.617981,0.8870388
F1-3,0.000247761,0.271872109,2.636719,1.832259
F1-3,0.000111958,0.294912579,2.362061,1.734205
F1-3,0.00010352,0.248428966,1.51062,1.38686
F1-3,0.000213449,0.263405732,0.920105,1.082365
F1-3,0.000144311,0.291276247,1.60675,1.430307
F1-3,0.000129767,0.212351925,1.318359,1.295603
F1-3,0.000179137,0.290297351,1.208496,1.240445
F1-3,0.000227702,0.223439006,1.895142,1.553373
F1-3,0.000479972,0.202157761,1.249695,1.261412
F1-3,0.000126644,0.353246288,0.1647949,0.4580649
F1-3,6.39711E-05,0.42523887,1.029968,1.145162
F1-3,0.000159143,0.354845845,2.334595,1.724093
F1-3,0.000207643,0.279881399,0.9613037,1.106332
F1-3,0.000236182,0.219870594,2.032471,1.608671
F1-3,0.00034793,0.292598178,0.9063721,1.074257
F1-3,0.000221465,0.169710873,0.8514404,1.041195
F1-3,0.000234555,0.223507904,0.9063721,1.074257
F1-3,0.000105008,0.410946148,2.046204,1.614096
F1-3,0.00043928,0.367569225,0.4943848,0.7933916
F1-3,0.00020009,0.191711088,1.689148,1.466523
F1-3,0.0005411,0.235261405,0.4394531,0.7480168
F1-3,0.000340091,0.193147633,0.4257202,0.7362362
F1-3,0.00029744,0.397420321,0.9063721,1.074257
F1-3,-4.41055E-05,0.560626459,0.2746582,0.5913592
F1-3,0.000147003,0.345463756,1.332092,1.302333
F1-3,0.000237413,0.15628191,1.139832,1.20469
F1-3,0.00010544,0.467969845,0.6454468,0.9065365
F1-3,-7.81452E-05,0.293880538,0.8651733,1.049558
F1-3,0.000192718,0.26229007,0.9338379,1.090412
F1-3,0.000333783,0.27420504,0.7827759,0.9983292
F1-3,6.73072E-05,0.359510066,0.2471924,0.5610126
F1-3,-8.18497E-05,0.182660644,0.5355835,0.8257881
F1-3,4.63148E-05,0.232653588,1.290894,1.282036
F1-3,0.000246469,0.326556403,2.1698,1.66213
F1-3,0.000175135,0.168076371,1.194763,1.233377
F1-3,0.000130807,0.316290123,0.8239746,1.024264
F1-3,0.000222354,0.33282608,0.920105,1.082365
F1-3,0.000178308,0.295777622,0.2471924,0.5610126
F1-3,0.000123432,0.364631785,2.252197,1.693395
F1-3,0.000360819,0.257326485,0.5630493,0.8466975
F1-3,9.96821E-05,0.267194509,0.8789063,1.057855
F1-3,0.000166384,0.358190506,0.3845215,0.6997056
